Chinese	Vietnamese
C故 nhân Diệu Âm	Cố nhân Diệu Âm
善哉善哉, thí chủ {PlayerSurName} quả thật đã làm việc thiện.	thiện tai thiện tai, thí chủ {PlayerSurName} quả thật đã làm việc thiện.
善哉善哉, đây là việc thiện lớn, thí chủ {PlayerSurName} quả thật là công đức vô lượng, rất có Phật tính.	thiện tai thiện tai, đây là việc thiện lớn, thí chủ {PlayerSurName} quả thật là công đức vô lượng, rất có Phật tính.
善哉善哉, đây là việc thiện lớn, thí chủ quả thật là công đức vô lượng, rất có Phật tính.	thiện tai thiện tai, đây là việc thiện lớn, thí chủ quả thật là công đức vô lượng, rất có Phật tính.
汪汪~	uông uông ~
汪汪~	uông uông ~
Âu Dã huynh yên tâm, chỉ là một đám乌合之众 mà thôi!	Âu Dã huynh yên tâm, chỉ là một đám ô hợp chi chúng mà thôi!
Âu Dã huynh yên tâm, chỉ là một đám乌合之众 mà thôi!	Âu Dã huynh yên tâm, chỉ là một đám ô hợp chi chúng mà thôi!
A Di Đà Phật, không ngờ施主 lại chính là Sơn Tặc của Đại Vương Trại!	A Di Đà Phật, không ngờ thi chủ lại chính là Sơn Tặc của Đại Vương Trại!
Vì vậy, tất cả những người mà ngươi thấy trong Cửu Lưu Môn đều là nạn nhân của cái gọi là “正道” giả dối kia.	Vì vậy, tất cả những người mà ngươi thấy trong Cửu Lưu Môn đều là nạn nhân của cái gọi là " chính đạo" giả dối kia.
Vì vậy, tất cả những người mà ngươi thấy trong Cửu Lưu Môn đều là nạn nhân của cái gọi là “正道” giả dối kia.	Vì vậy, tất cả những người mà ngươi thấy trong Cửu Lưu Môn đều là nạn nhân của cái gọi là " chính đạo" giả dối kia.
...... 唉.	...... ai.
Chuyện này làm sao có thể nể tình được? Nếu chuyện này mà nể tình được thì nha môn này còn不如改成茶馆算了!	Chuyện này làm sao có thể nể tình được? Nếu chuyện này mà nể tình được thì nha môn này còn bất như cải thành trà quán toán liễu!
Cảm ơn các vị chưởng quầy chiếu cố,寒舍蓬荜生辉.	Cảm ơn các vị chưởng quầy chiếu cố, hàn xá bồng tất sinh huy.
Tuệ Văn thư cục chưởng quầy không biết đã nhận bao nhiêu lợi ích, sửa đổi sách giáo khoa启蒙 của trẻ em, sửa đổi một số bài viết kinh điển thành không ra hình thù, lời lẽ không đạt ý, các người có thể mong đợi những đứa trẻ đọc những cuốn sách này sau này có thể trở thành trụ cột tương lai không?	Tuệ Văn thư cục chưởng quầy không biết đã nhận bao nhiêu lợi ích, sửa đổi sách giáo khoa khải mông của trẻ em, sửa đổi một số bài viết kinh điển thành không ra hình thù, lời lẽ không đạt ý, các người có thể mong đợi những đứa trẻ đọc những cuốn sách này sau này có thể trở thành trụ cột tương lai không?
Nhưng hàng năm quan phủ ra lệnh cho thương gia mở cháo chẩn cứu济穷 nhân, quyên góp quần áo cho dân chúng chống rét, ngươi làm thế nào? Vì ngươi, những người chết vì đói rét có bao nhiêu, ngươi hẳn trong lòng đều rõ ràng chứ?	Nhưng hàng năm quan phủ ra lệnh cho thương gia mở cháo chẩn cứu tế cùng nhân, quyên góp quần áo cho dân chúng chống rét, ngươi làm thế nào? Vì ngươi, những người chết vì đói rét có bao nhiêu, ngươi hẳn trong lòng đều rõ ràng chứ?
Phụ thân ta không biết vì sao lại yêu thích tên kia, truyền dạy cho nàng mọi thứ, thậm chí cuối cùng còn truyền Chưởng môn之位 cho tiểu sư muội này!	Phụ thân ta không biết vì sao lại yêu thích tên kia, truyền dạy cho nàng mọi thứ, thậm chí cuối cùng còn truyền Chưởng môn chi vị cho tiểu sư muội này!
A Di Đà Phật, lời sư thúc vừa nói quả thật khiến người ta suy ngẫm, quả nhiên “hối cải là bờ”, Thiết Diện Nhân施主, ngươi vẫn còn cơ hội hối cải...	A Di Đà Phật, lời sư thúc vừa nói quả thật khiến người ta suy ngẫm, quả nhiên "hối cải là bờ", Thiết Diện Nhân thi chủ, ngươi vẫn còn cơ hội hối cải...
Không phải vậy, chẳng phải có câu “Phóng Hạ Đồ Đao Lập Địa Thành Phật”? Quả nhiên “hối cải là bờ”, Thiết Diện Nhân施主, ngươi vẫn còn cơ hội hối cải...	Không phải vậy, chẳng phải có câu "Phóng Hạ Đồ Đao Lập Địa Thành Phật"? Quả nhiên "hối cải là bờ", Thiết Diện Nhân thi chủ, ngươi vẫn còn cơ hội hối cải...
Thiết Diện Nhân施主, trước mặt ngươi chính là cơ hội hối cải.	Thiết Diện Nhân thi chủ, trước mặt ngươi chính là cơ hội hối cải.
A Di Đà Phật, là施主 thắng rồi.	A Di Đà Phật, là thi chủ thắng rồi.
Như ngươi nói, ta đều dám giúp Yến Vân Thiết Quân đánh chiếm Sở Tương, vài mạng quan lại kia算 là gì?	Như ngươi nói, ta đều dám giúp Yến Vân Thiết Quân đánh chiếm Sở Tương, vài mạng quan lại kia toán là gì?
